2026-01-25 02:08:54.592 | ERROR    | wallcat.main:classify:129 - Falha em 11151046829183.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:54.683 | ERROR    | wallcat.main:classify:129 - Falha em 11151201553187.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:54.777 | ERROR    | wallcat.main:classify:129 - Falha em 11151224423188.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:54.866 | ERROR    | wallcat.main:classify:129 - Falha em 11151508614195.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:55.084 | ERROR    | wallcat.main:classify:129 - Falha em 11151918778214.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:55.262 | ERROR    | wallcat.main:classify:129 - Falha em 11151951023219.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:55.393 | ERROR    | wallcat.main:classify:129 - Falha em 11152048416224.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:55.498 | ERROR    | wallcat.main:classify:129 - Falha em 11152108400225.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:55.575 | ERROR    | wallcat.main:classify:129 - Falha em 11152145122231.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:55.664 | ERROR    | wallcat.main:classify:129 - Falha em 11152210816234.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:55.764 | ERROR    | wallcat.main:classify:129 - Falha em 11152242874238.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:55.852 | ERROR    | wallcat.main:classify:129 - Falha em 11152312889241.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:55.937 | ERROR    | wallcat.main:classify:129 - Falha em 11152354057246.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:56.022 | ERROR    | wallcat.main:classify:129 - Falha em 11152419345248.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:56.120 | ERROR    | wallcat.main:classify:129 - Falha em 112504_Papel-de-Parede-Transformers--112504_1920x1200.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:56.216 | ERROR    | wallcat.main:classify:129 - Falha em 113690_Papel-de-Parede-Resident-Evil-3-A-Extincao-Resident-Evil-Extinction--113690_1280x1024.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:56.323 | ERROR    | wallcat.main:classify:129 - Falha em 120315_Papel-de-Parede-Escudo-pegando-fogo_1920x1200.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:56.459 | ERROR    | wallcat.main:classify:129 - Falha em 12M2610155J50-94422.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:56.558 | ERROR    | wallcat.main:classify:129 - Falha em 143241_Papel-de-Parede-Transformers--143241_1280x800.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:56.656 | ERROR    | wallcat.main:classify:129 - Falha em 144155_Papel-de-Parede-Transformers--144155_1280x800.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:56.770 | ERROR    | wallcat.main:classify:129 - Falha em 144670_Papel-de-Parede-Homem-de-Ferro-Iron-Man--144670_1280x800.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:56.877 | ERROR    | wallcat.main:classify:129 - Falha em 148142_Papel-de-Parede-Homem-de-Ferro-Iron-Man--148142_1280x800.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:56.990 | ERROR    | wallcat.main:classify:129 - Falha em 195523_Papel-de-Parede-Need-For-Speed--195523_1400x1050.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:57.096 | ERROR    | wallcat.main:classify:129 - Falha em 2013-03-29 002.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:57.201 | ERROR    | wallcat.main:classify:129 - Falha em 2013-03-29 003.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:57.302 | ERROR    | wallcat.main:classify:129 - Falha em 2013-04-20 004.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:57.415 | ERROR    | wallcat.main:classify:129 - Falha em 212024_Papel-de-Parede-Led-Zeppelin--212024_1600x1200.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:57.527 | ERROR    | wallcat.main:classify:129 - Falha em 233465_Papel-de-Parede-Transformers--233465_1280x1024.jpg: attempt to get argmax of an empty sequence
2026-01-25 02:08:57.687 | ERROR    | wallcat.main:classify:129 - Falha em 233850_Papel-de-Parede-Transformers--233850_1280x1024.jpg: attempt to get argmax of an empty sequence
